Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2015",,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
All Races,Educational Attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
..30 to 34 years,"10,695",15,52,96,111,190,162,342,"2,364","1,886",509,751,"2,672","1,216",168,163
..35 to 39 years,"10,086",34,55,198,135,189,115,313,"2,335","1,631",428,718,"2,386","1,163",163,223
..40 to 44 years,"10,212",41,50,178,183,155,130,316,"2,333","1,611",517,707,"2,440","1,185",169,197
..45 to 49 years,"10,465",34,50,173,151,160,174,281,"2,762","1,678",486,783,"2,423",1005,157,149
..50 to 54 years,"11,387",35,95,151,157,147,182,322,"3,322","1,880",562,829,"2,480",954,131,140
..55 to 59 years,"11,090",25,77,158,205,127,149,381,"3,375","1,909",551,742,"2,062",1066,130,132
..60 to 64 years,"9,870",32,95,131,144,133,145,290,"3,070","1,687",488,603,"1,750",1035,140,127
..65 to 69 years,"8,337",55,104,137,155,109,189,249,"2,777","1,405",371,453,"1,347",772,84,129
..70 to 74 years,"6,046",25,69,114,153,116,200,252,"2,238","1,022",227,250,825,455,36,64
..75 years and over,"11,172",122,234,238,490,309,382,539,"4,599","1,544",317,353,"1,314",570,95,67
Footnotes:,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,
/2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2015 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,
