Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2015",,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Non-Hispanic White alone,Educational Attainment,,,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,
..50 to 54 years,"7,590",7,8,7,63,53,84,148,"2,174","1,322",393,613,"1,822",702,103,91,,
..55 to 59 years,"7,802",4,11,5,74,45,74,206,"2,360","1,402",400,591,"1,586",835,113,98,,
..60 to 64 years,"7,074",7,10,11,65,52,62,152,"2,199","1,263",385,466,"1,320",879,115,90,,
..65 to 69 years,"6,193",7,10,25,67,58,113,141,"2,159","1,095",298,348,1046,649,66,110,,
..70 to 74 years,"4,667",-,6,21,97,60,126,145,"1,823",851,196,195,678,389,29,53,,
..75 years and over,"8,815",28,59,52,330,220,285,392,"3,845","1,315",266,303,"1,113",482,70,55,,
Footnotes:,,,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,,,
/2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2015 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,
