Table with row headers in column A and column headers for both sexes in rows 5 through 6.,,,,,,,,,,,,
"Table 2.  Educational Attainment of the Population 25 Years and Over, by Selected Characteristics:  2015",,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,
Both Sexes,Total,Educational Attainment,,,,,,,,,,
,,None - 8th grade,9th - 11th grade,High school graduate,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,
..1970-1979,"3,703",675,312,826,423,267,743,280,80,96,,
..Before 1970,"2,650",447,187,744,353,202,409,192,41,76,,
,,,,,,,,,,,,
Labor Force Status,,,,,,,,,,,,
Employed,"129,639","3,939","6,193","33,745","21,350","14,287","31,338","13,444","2,563","2,780",,
Unemployed,"6,263",303,708,"2,161","1,289",549,883,274,45,52,,
Not in civilian labor force,"76,231","5,654","7,785","26,669","12,525","6,031","11,278","4,753",757,778,,
,,,,,,,,,,,,
Occupation (Employed Civilians Only)," 129,639 "," 3,939 "," 6,193 "," 33,745 "," 21,350 "," 14,287 "," 31,338 "," 13,444 "," 2,563 "," 2,780 ",,
".Management, business, and financial occupations","22,761",156,343,"3,561","3,235","2,022","8,885","3,906",272,381,,
.Professional and related occupations,"31,382",51,124,"2,157","2,833","3,457","11,060","7,386","2,073","2,240",,
.Service occupations,"19,777","1,337","1,877","7,147","3,991","2,432","2,384",503,69,37,,
.Sales and related occupations,"12,729",162,464,"3,616","2,655","1,309","3,751",663,56,54,,
.Office and administrative occupations,"15,440",107,407,"5,096","3,775","2,247","3,103",641,36,29,,
".Farming, forestry, and fishing occupations",882,245,148,302,69,33,59,25,-,-,,
.Construction and extraction occupations,"6,760",730,945,"2,928",998,624,466,56,11,2,,
".Installation, maintenance, and repair occupations","4,405",141,366,"1,793",904,751,363,67,12,7,,
.Production occupations,"7,616",538,745,"3,418","1,407",763,608,107,14,16,,
.Transportation and material moving occupations,"7,887",472,774,"3,728","1,484",649,660,89,21,12,,
,,,,,,,,,,,,
Industry (Employed Civilians Only)," 129,639 "," 3,939 "," 6,193 "," 33,745 "," 21,350 "," 14,287 "," 31,338 "," 13,444 "," 2,563 "," 2,780 ",,
".Agricultural, forestry, fishing, and hunting","2,219",322,209,793,271,175,343,84,5,18,,
.Mining,928,29,47,325,155,86,200,83,1,2,,
.Construction,"8,916",768,1038,"3,520","1,394",859,"1,105",194,25,13,,
.Manufacturing,"13,710",560,832,"4,743","2,309","1,484","2,619",956,55,151,,
.Wholesale and retail trade,"16,435",386,879,"5,765","3,412","1,735","3,435",641,84,97,,
.Transportation and utilities,"6,998",160,411,"2,648","1,446",846,"1,134",300,25,27,,
.Information,"2,616",15,29,392,456,251,"1,090",307,41,36,,
.Financial activities,"9,535",54,137,"1,676","1,707",986,"3,724","1,027",151,73,,
.Professional and business services,"15,759",528,662,"2,803","2,229","1,288","4,906","2,088",785,470,,
.Educational and health services,"30,831",229,634,"5,007","3,964","4,101","8,215","5,948","1,111","1,622",,
.Leisure and hospitality,"8,973",526,772,"2,897","1,779",796,"1,721",413,29,40,,
.Other services,"6,271",328,459,"1,993","1,000",796,1039,537,43,76,,
.Public administration,"6,445",34,84,"1,183","1,227",884,"1,805",866,208,154,,
,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,
/2  Native parentage: Both parents born in US.,,,,,,,,,,,,
/3  Foreign or mixed parentage: One or both parents foreign born.,,,,,,,,,,,,
,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2015 Annual Social and Economic Supplement",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
